aggregator_type,best_model_path,dropout,feat_name,gpu,lr,model_path_dir,n_epochs,n_hidden,n_layers,shuffle,weight_decay,loss,acc
pool,Graph_ckpt/best_model_0_20211104-20-35,0.7,feat-all,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.831146391,0.530219385
gcn,Graph_ckpt/best_model_0_20211111-04-38,0.7,feat-all6,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.692608712,0.529931352
mean,Graph_ckpt/best_model_20211109-07-50,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.727930801,0.529931352
pool,Graph_ckpt/best_model_20211109-11-07,0.7,feat-all5,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,4.18603049,0.529931352
lstm,Graph_ckpt/best_model_0_20211106-11-04,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.692976962,0.529739331
pool,Graph_ckpt/best_model_20211105-12-25,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.771861566,0.52964332
gcn,Graph_ckpt/best_model_0_20211105-03-30,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.717611386,0.529547309
pool,Graph_ckpt/best_model_20211108-14-22,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,4.725967677,0.529451299
lstm,Graph_ckpt/best_model_20211104-10-34,0.5,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.694301824,0.529163266
lstm,Graph_ckpt/best_model_0_20211104-12-55,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.692886711,0.52901925
gcn,Graph_ckpt/best_model_0_20211104-20-57,0.7,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.778807811,0.528875234
gcn,Graph_ckpt/best_model_0_20211107-15-37,0.2,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.877201323,0.528875234
lstm,Graph_ckpt/best_model_20211110-02-19,0.2,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.762386345,0.528731218
gcn,Graph_ckpt/best_model_0_20211109-10-05,0.2,feat-all,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.850591482,0.528587202
mean,Graph_ckpt/best_model_0_20211105-02-42,0.7,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.697977104,0.528539196
gcn,Graph_ckpt/best_model_20211105-17-49,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.805479091,0.528539196
gcn,Graph_ckpt/best_model_0_20211106-12-52,0.5,feat-all6,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.871573977,0.528443186
gcn,Graph_ckpt/best_model_0_20211110-17-20,0.7,feat-all,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.844433491,0.528443186
mean,Graph_ckpt/best_model_0_20211105-13-38,0.2,feat-all2,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.693683034,0.52829917
